Site ID,Date Collected,Quadrat Number,Size mm,Alive/Dead,Number of Drill Holes,Presence of Boring Sponge,Collected for Disease Testing,New Recruit
Nin-3S,5/3/2016 0:00:00,1,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,25,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,39,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,16,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,44,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,21,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,39,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,35,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,30,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,37,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,18,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,29,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,22,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,26,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,17,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,35,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,33,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,42,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,38,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,27,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,31,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,40,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,34,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,23,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,24,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,35,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,32,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,30,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,21,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,28,8,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,29,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,27,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,22,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,24,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,28,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,34,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,36,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,23,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,26,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,1,18,9,0,0,0,0
Nin-3S,5/3/2016 0:00:00,3,40,8,0,0,0,0
