Site ID,Date Collected,Quadrat Size,Quadrat Number,Relief cm,% Algal Cover,Notes,Subsample?,Live Oyster Count,Dead Oyster Count
Nin-1C,5/20/2016 0:00:00,0.25,1,0.00,0,,0,0,0
Nin-1C,5/20/2016 0:00:00,0.25,2,0.00,0,,0,0,0
Nin-1C,5/20/2016 0:00:00,0.25,3,0.00,25,,0,0,0
Nin-1C,5/20/2016 0:00:00,0.25,4,0.00,7,,0,0,0
Nin-1C,5/20/2016 0:00:00,0.25,6,0.00,25,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,1,0.00,100,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,2,0.00,100,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,3,0.00,91,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,4,0.00,100,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,5,0.00,100,,0,0,0
Nin-1C,10/25/2016 0:00:00,0.25,6,0.00,55,,0,0,0
Nin-1S,5/11/2016 0:00:00,0.25,1,43.00,7,,1,113,0
Nin-1S,5/11/2016 0:00:00,0.25,2,52.00,25,,1,290,0
Nin-1S,5/11/2016 0:00:00,0.25,3,13.00,25,,0,0,0
Nin-1S,5/11/2016 0:00:00,0.25,4,18.00,38,,1,83,0
Nin-1S,5/11/2016 0:00:00,0.25,5,65.00,15,,0,0,0
Nin-1S,5/11/2016 0:00:00,0.25,6,13.00,7,,0,0,0
Nin-1S,10/18/2016 0:00:00,0.25,1,28.00,3,,1,45,9
Nin-1S,10/18/2016 0:00:00,0.25,2,8.00,7,,1,84,0
Nin-1S,10/18/2016 0:00:00,0.25,3,12.00,0,,0,0,0
Nin-1S,10/18/2016 0:00:00,0.25,4,35.00,7,,1,57,0
Nin-1S,10/18/2016 0:00:00,0.25,5,95.00,0,,0,0,0
Nin-1S,10/18/2016 0:00:00,0.25,6,14.00,7,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,1,35.00,38,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,2,40.00,76,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,3,8.00,25,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,4,10.00,3,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,5,30.00,7,,0,0,0
Nin-1U,5/3/2016 0:00:00,0.25,6,30.00,7,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,1,50.00,3,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,2,13.00,0,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,3,55.00,0,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,4,35.00,0,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,5,18.00,0,,0,0,0
Nin-1U,10/18/2016 0:00:00,0.25,6,22.00,0,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,1,0.00,55,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,2,0.00,76,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,3,0.00,7,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,4,0.00,91,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,5,0.00,25,,0,0,0
Nin-2C,5/20/2016 0:00:00,0.25,6,0.00,15,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,1,0.00,76,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,2,0.00,100,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,3,0.00,100,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,4,0.00,55,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,5,0.00,100,,0,0,0
Nin-2C,10/25/2016 0:00:00,0.25,6,0.00,100,,0,0,0
Nin-2S,5/20/2016 0:00:00,0.25,1,21.00,25,polychaete,1,209,0
Nin-2S,5/20/2016 0:00:00,0.25,2,18.00,25,,1,612,6
Nin-2S,5/20/2016 0:00:00,0.25,3,15.00,15,,0,0,0
Nin-2S,5/20/2016 0:00:00,0.25,4,10.00,55,,0,0,0
Nin-2S,5/20/2016 0:00:00,0.25,5,25.00,25,,0,0,0
Nin-2S,5/20/2016 0:00:00,0.25,6,15.00,25,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,1,8.00,25,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,2,15.00,0,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,3,8.00,55,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,4,12.00,0,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,5,10.00,3,,0,0,0
Nin-2S,10/18/2016 0:00:00,0.25,6,16.00,0,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,1,35.00,76,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,2,42.00,55,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,3,18.00,38,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,4,8.00,7,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,5,58.00,76,,0,0,0
Nin-2U,5/11/2016 0:00:00,0.25,6,52.00,15,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,1,0.00,0,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,2,11.00,0,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,3,17.00,0,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,4,16.00,0,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,5,28.00,0,,0,0,0
Nin-2U,10/18/2016 0:00:00,0.25,6,42.00,0,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,1,0.00,0,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,2,0.00,0,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,3,0.00,0,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,4,0.00,0,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,5,0.00,3,,0,0,0
Nin-3C,5/20/2016 0:00:00,0.25,6,0.00,3,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,1,0.00,7,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,2,0.00,100,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,3,0.00,25,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,4,0.00,0,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,5,0.00,3,,0,0,0
Nin-3C,10/25/2016 0:00:00,0.25,6,0.00,3,,0,0,0
Nin-3S,5/3/2016 0:00:00,0.25,1,37.00,55,,1,285,0
Nin-3S,5/3/2016 0:00:00,0.25,2,34.00,3,,0,0,0
Nin-3S,5/3/2016 0:00:00,0.25,3,38.00,3,,0,0,0
Nin-3S,5/3/2016 0:00:00,0.25,4,28.00,3,,0,0,0
Nin-3S,5/3/2016 0:00:00,0.25,5,25.00,55,,0,0,0
Nin-3S,5/3/2016 0:00:00,0.25,6,28.00,7,,0,28,0
Nin-3S,10/19/2016 0:00:00,0.25,1,8.00,7,,0,0,0
Nin-3S,10/19/2016 0:00:00,0.25,2,20.00,0,,0,0,0
Nin-3S,10/19/2016 0:00:00,0.25,3,11.00,1,,0,0,0
Nin-3S,10/19/2016 0:00:00,0.25,4,13.00,3,,0,0,0
Nin-3S,10/19/2016 0:00:00,0.25,5,6.00,0,,1,28,0
Nin-3S,10/19/2016 0:00:00,0.25,6,42.00,0,Red, encrusting sponge on quadrat 6 oysters,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,1,13.00,25,,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,2,15.00,25,,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,3,15.00,25,,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,4,23.00,25,,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,5,5.00,15,,0,0,0
Nin-3U,5/20/2016 0:00:00,0.25,6,17.00,25,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,1,15.00,0,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,2,5.00,0,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,3,22.00,0,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,4,4.00,0,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,5,18.00,0,,0,0,0
Nin-3U,10/19/2016 0:00:00,0.25,6,10.00,7,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,1,0.00,3,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,2,0.00,0,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,3,0.00,0,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,4,0.00,0,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,5,0.00,0,,0,0,0
Nin-4C,5/20/2016 0:00:00,0.25,6,0.00,3,,0,0,0
Nin-4C,10/25/2016 0:00:00,0.25,1,0.00,3,,0,0,0
Nin-4C,10/25/2016 0:00:00,0.25,2,0.00,3,,0,0,0
Nin-4C,10/25/2016 0:00:00,0.25,3,0.00,3,,0,0,0
Nin-4C,10/25/2016 0:00:00,0.25,5,0.00,0,,0,0,0
Nin-4C,10/25/2016 0:00:00,0.25,6,0.00,7,,0,0,0
Nin-4S,5/3/2016 0:00:00,0.25,1,29.00,76,,0,0,0
Nin-4S,5/3/2016 0:00:00,0.25,2,44.00,15,,1,23,0
Nin-4S,5/3/2016 0:00:00,0.25,3,30.00,25,,1,93,0
Nin-4S,5/3/2016 0:00:00,0.25,4,40.00,25,,0,0,0
Nin-4S,5/3/2016 0:00:00,0.25,5,15.00,25,,0,0,0
Nin-4S,5/3/2016 0:00:00,0.25,6,48.00,38,polychaetes,1,49,0
Nin-4S,10/19/2016 0:00:00,0.25,1,76.00,0,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,2,70.00,0,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,3,9.00,7,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,4,80.00,0,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,5,57.00,0,,1,65,0
Nin-4S,10/19/2016 0:00:00,0.25,6,5.00,25,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,7,21.00,0,,0,0,0
Nin-4S,10/19/2016 0:00:00,0.25,8,3.00,7,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,1,25.00,15,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,2,19.00,76,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,3,30.00,25,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,4,36.00,76,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,5,35.00,15,,0,0,0
Nin-4U,5/3/2016 0:00:00,0.25,6,21.00,76,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,1,20.00,0,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,2,8.00,7,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,3,25.00,0,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,4,5.00,0,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,5,22.00,0,,0,0,0
Nin-4U,10/19/2016 0:00:00,0.25,6,4.00,3,,0,0,0
